Periodo,Mes,Institucion,Sector,Subsector,Molecula,Producto_Referencia,Presentacion_Sintetica,Unidades_Sell_Out_Sinteticas,Precio_Unitario_Sintetico_MXN,Importe_Sell_Out_Sintetico_MXN,Objetivo_Unidades,Cumplimiento_vs_Objetivo_pct,Variacion_MoM_pct,Pacientes_Estimados,Dias_Stock_Out,Inventario_Cierre_Unidades,Cobertura_Dias_Estimada,KPI_Auditoria,Nivel_Oportunidad
2026-01,Enero,UMAE Hospital de Especialidades CMN La Raza Dr. Antonio Fraga Mouret,IMSS,UMAE / Alta Especialidad,Mepolizumab,Nucala / referencia de molécula,100 mg SC; unidad mensual sintética,3,25800,77400,3,1,,3,0,11,110,Amarillo,Seguimiento
2026-01,Enero,UMAE Hospital de Especialidades CMN Siglo XXI Dr. Bernardo Sepúlveda,IMSS,UMAE / Alta Especialidad,Mepolizumab,Nucala / referencia de molécula,100 mg SC; unidad mensual sintética,8,25800,206400,9,0.8889,,8,1,18,67.5,Rojo,Intervención comercial / acceso
2026-01,Enero,UMAE Hospital de Pediatría CMN Siglo XXI Dr. Silvestre Frenk Freund,IMSS,UMAE / Pediatría,Mepolizumab,Nucala / referencia de molécula,100 mg SC; unidad mensual sintética,5,25800,129000,6,0.8333,,5,1,7,42,Rojo,Intervención comercial / acceso
2026-01,Enero,Centro Médico Nacional 20 de Noviembre,ISSSTE,Centro Médico Nacional,Mepolizumab,Nucala / referencia de molécula,100 mg SC; unidad mensual sintética,13,25800,335400,12,1.0833,,13,0,28,64.6,Verde,Mantener / expandir
2026-01,Enero,Centro Médico Nacional 20 de Noviembre,ISSSTE,Centro Médico Nacional,Mepolizumab,Nucala / referencia de molécula,100 mg SC; unidad mensual sintética,7,25800,180600,8,0.875,,7,1,15,64.3,Rojo,Intervención comercial / acceso
2026-01,Enero,Centro Médico Nacional 20 de Noviembre,ISSSTE,Centro Médico Nacional,Mepolizumab,Nucala / referencia de molécula,100 mg SC; unidad mensual sintética,4,25800,103200,4,1,,4,0,10,75,Amarillo,Seguimiento
2026-01,Enero,Centro Médico Nacional 20 de Noviembre,ISSSTE,Centro Médico Nacional,Mepolizumab,Nucala / referencia de molécula,100 mg SC; unidad mensual sintética,3,25800,77400,3,1,,3,1,8,80,Amarillo,Seguimiento
2026-01,Enero,Centro Médico Nacional 20 de Noviembre,ISSSTE,Centro Médico Nacional,Mepolizumab,Nucala / referencia de molécula,100 mg SC; unidad mensual sintética,8,25800,206400,9,0.8889,,8,2,13,48.8,Rojo,Intervención comercial / acceso
2026-01,Enero,Hospital General Darío Fernández Fierro,ISSSTE,Hospital General,Mepolizumab,Nucala / referencia de molécula,100 mg SC; unidad mensual sintética,4,25800,103200,8,0.5,,4,3,7,52.5,Rojo,Intervención comercial / acceso
2026-01,Enero,Hospital General Darío Fernández Fierro,ISSSTE,Hospital General,Mepolizumab,Nucala / referencia de molécula,100 mg SC; unidad mensual sintética,4,25800,103200,4,1,,4,0,5,37.5,Amarillo,Seguimiento
2026-01,Enero,Hospital General Darío Fernández Fierro,ISSSTE,Hospital General,Mepolizumab,Nucala / referencia de molécula,100 mg SC; unidad mensual sintética,6,25800,154800,6,1,,6,1,11,55,Amarillo,Seguimiento
2026-01,Enero,Hospital General Tacuba,ISSSTE,Hospital General,Mepolizumab,Nucala / referencia de molécula,100 mg SC; unidad mensual sintética,2,25800,51600,2,1,,2,0,5,75,Amarillo,Seguimiento
2026-01,Enero,Hospital General Tacuba,ISSSTE,Hospital General,Mepolizumab,Nucala / referencia de molécula,100 mg SC; unidad mensual sintética,1,25800,25800,4,0.25,,1,2,1,30,Rojo,Intervención comercial / acceso
2026-01,Enero,Hospital General Tláhuac ISSSTE,ISSSTE,Hospital General,Mepolizumab,Nucala / referencia de molécula,100 mg SC; unidad mensual sintética,1,25800,25800,1,1,,1,0,0,0,Amarillo,Seguimiento
2026-01,Enero,Hospital General Tláhuac ISSSTE,ISSSTE,Hospital General,Mepolizumab,Nucala / referencia de molécula,100 mg SC; unidad mensual sintética,5,25800,129000,5,1,,5,0,12,72,Amarillo,Seguimiento
2026-01,Enero,Hospital General Tláhuac ISSSTE,ISSSTE,Hospital General,Mepolizumab,Nucala / referencia de molécula,100 mg SC; unidad mensual sintética,3,25800,77400,3,1,,3,0,8,80,Amarillo,Seguimiento
2026-01,Enero,Hospital Regional 1° de Octubre,ISSSTE,Hospital Regional,Mepolizumab,Nucala / referencia de molécula,100 mg SC; unidad mensual sintética,1,25800,25800,1,1,,1,0,4,120,Amarillo,Seguimiento
2026-01,Enero,Hospital Regional 1° de Octubre,ISSSTE,Hospital Regional,Mepolizumab,Nucala / referencia de molécula,100 mg SC; unidad mensual sintética,6,25800,154800,7,0.8571,,6,0,16,80,Rojo,Intervención comercial / acceso
2026-01,Enero,Hospital Regional Lic. Adolfo López Mateos,ISSSTE,Hospital Regional,Mepolizumab,Nucala / referencia de molécula,100 mg SC; unidad mensual sintética,7,25800,180600,7,1,,7,0,19,81.4,Amarillo,Seguimiento
2026-01,Enero,Hospital Regional Lic. Adolfo López Mateos,ISSSTE,Hospital Regional,Mepolizumab,Nucala / referencia de molécula,100 mg SC; unidad mensual sintética,6,25800,154800,5,1.2,,6,0,13,65,Verde,Mantener / expandir
2026-01,Enero,Hospital Regional Lic. Adolfo López Mateos,ISSSTE,Hospital Regional,Mepolizumab,Nucala / referencia de molécula,100 mg SC; unidad mensual sintética,5,25800,129000,5,1,,5,0,9,54,Amarillo,Seguimiento
2026-01,Enero,Hospital General Ajusco Medio Dra. Obdulia Rodríguez Rodríguez,SEDESA / IMSS-BIENESTAR CDMX,Hospital General,Mepolizumab,Nucala / referencia de molécula,100 mg SC; unidad mensual sintética,2,25800,51600,2,1,,2,1,1,15,Amarillo,Seguimiento
2026-01,Enero,Hospital General Ajusco Medio Dra. Obdulia Rodríguez Rodríguez,SEDESA / IMSS-BIENESTAR CDMX,Hospital General,Mepolizumab,Nucala / referencia de molécula,100 mg SC; unidad mensual sintética,1,25800,25800,3,0.3333,,1,4,0,0,Rojo,Intervención comercial / acceso
2026-01,Enero,Hospital General Dr. Enrique Cabrera,SEDESA / IMSS-BIENESTAR CDMX,Hospital General,Mepolizumab,Nucala / referencia de molécula,100 mg SC; unidad mensual sintética,4,25800,103200,4,1,,4,0,11,82.5,Amarillo,Seguimiento
2026-01,Enero,Hospital General Dr. Enrique Cabrera,SEDESA / IMSS-BIENESTAR CDMX,Hospital General,Mepolizumab,Nucala / referencia de molécula,100 mg SC; unidad mensual sintética,7,25800,180600,7,1,,7,0,15,64.3,Amarillo,Seguimiento
2026-01,Enero,Hospital General Dr. Enrique Cabrera,SEDESA / IMSS-BIENESTAR CDMX,Hospital General,Mepolizumab,Nucala / referencia de molécula,100 mg SC; unidad mensual sintética,5,25800,129000,5,1,,5,0,11,66,Amarillo,Seguimiento
2026-01,Enero,Hospital General Dr. Rubén Leñero,SEDESA / IMSS-BIENESTAR CDMX,Hospital General,Mepolizumab,Nucala / referencia de molécula,100 mg SC; unidad mensual sintética,3,25800,77400,3,1,,3,0,8,80,Amarillo,Seguimiento
2026-01,Enero,Hospital General Dr. Rubén Leñero,SEDESA / IMSS-BIENESTAR CDMX,Hospital General,Mepolizumab,Nucala / referencia de molécula,100 mg SC; unidad mensual sintética,3,25800,77400,3,1,,3,0,5,50,Amarillo,Seguimiento
2026-01,Enero,Hospital General de Milpa Alta,SEDESA / IMSS-BIENESTAR CDMX,Hospital General,Mepolizumab,Nucala / referencia de molécula,100 mg SC; unidad mensual sintética,2,25800,51600,2,1,,2,0,8,120,Amarillo,Seguimiento
2026-01,Enero,Hospital General de Tláhuac Dra. Matilde Petra Montoya Lafragua,SEDESA / IMSS-BIENESTAR CDMX,Hospital General,Mepolizumab,Nucala / referencia de molécula,100 mg SC; unidad mensual sintética,3,25800,77400,3,1,,3,0,7,70,Amarillo,Seguimiento
2026-01,Enero,Hospital General de Tláhuac Dra. Matilde Petra Montoya Lafragua,SEDESA / IMSS-BIENESTAR CDMX,Hospital General,Mepolizumab,Nucala / referencia de molécula,100 mg SC; unidad mensual sintética,4,25800,103200,5,0.8,,4,3,6,45,Rojo,Intervención comercial / acceso
2026-01,Enero,Hospital General de Xoco,SEDESA / IMSS-BIENESTAR CDMX,Hospital General,Mepolizumab,Nucala / referencia de molécula,100 mg SC; unidad mensual sintética,4,25800,103200,5,0.8,,4,3,9,67.5,Rojo,Intervención comercial / acceso
2026-01,Enero,Hospital General de Xoco,SEDESA / IMSS-BIENESTAR CDMX,Hospital General,Mepolizumab,Nucala / referencia de molécula,100 mg SC; unidad mensual sintética,4,25800,103200,4,1,,4,0,7,52.5,Amarillo,Seguimiento
2026-01,Enero,Hospital General de Xoco,SEDESA / IMSS-BIENESTAR CDMX,Hospital General,Mepolizumab,Nucala / referencia de molécula,100 mg SC; unidad mensual sintética,3,25800,77400,7,0.4286,,3,1,10,100,Rojo,Intervención comercial / acceso
2026-01,Enero,Hospital General de Xoco,SEDESA / IMSS-BIENESTAR CDMX,Hospital General,Mepolizumab,Nucala / referencia de molécula,100 mg SC; unidad mensual sintética,4,25800,103200,4,1,,4,0,5,37.5,Amarillo,Seguimiento
2026-01,Enero,Hospital Materno Infantil Cuautepec,SEDESA / IMSS-BIENESTAR CDMX,Hospital Materno Infantil,Mepolizumab,Nucala / referencia de molécula,100 mg SC; unidad mensual sintética,1,25800,25800,1,1,,1,0,2,60,Amarillo,Seguimiento
2026-01,Enero,Hospital Materno Infantil Inguarán,SEDESA / IMSS-BIENESTAR CDMX,Hospital Materno Infantil,Mepolizumab,Nucala / referencia de molécula,100 mg SC; unidad mensual sintética,3,25800,77400,3,1,,3,0,7,70,Amarillo,Seguimiento
2026-01,Enero,Hospital Materno Infantil Tláhuac,SEDESA / IMSS-BIENESTAR CDMX,Hospital Materno Infantil,Mepolizumab,Nucala / referencia de molécula,100 mg SC; unidad mensual sintética,4,25800,103200,5,0.8,,4,4,7,52.5,Rojo,Intervención comercial / acceso
2026-01,Enero,Hospital Materno Infantil Tláhuac,SEDESA / IMSS-BIENESTAR CDMX,Hospital Materno Infantil,Mepolizumab,Nucala / referencia de molécula,100 mg SC; unidad mensual sintética,1,25800,25800,1,1,,1,0,5,150,Amarillo,Seguimiento
2026-01,Enero,Hospital Materno Pediátrico Xochimilco,SEDESA / IMSS-BIENESTAR CDMX,Hospital Materno Pediátrico,Mepolizumab,Nucala / referencia de molécula,100 mg SC; unidad mensual sintética,1,25800,25800,1,1,,1,0,0,0,Amarillo,Seguimiento
2026-01,Enero,Hospital Pediátrico Iztacalco,SEDESA / IMSS-BIENESTAR CDMX,Hospital Pediátrico,Mepolizumab,Nucala / referencia de molécula,100 mg SC; unidad mensual sintética,2,25800,51600,2,1,,2,1,3,45,Amarillo,Seguimiento
2026-01,Enero,Hospital Pediátrico Iztapalapa,SEDESA / IMSS-BIENESTAR CDMX,Hospital Pediátrico,Mepolizumab,Nucala / referencia de molécula,100 mg SC; unidad mensual sintética,1,25800,25800,1,1,,1,0,0,0,Amarillo,Seguimiento
2026-01,Enero,Hospital Pediátrico La Villa,SEDESA / IMSS-BIENESTAR CDMX,Hospital Pediátrico,Mepolizumab,Nucala / referencia de molécula,100 mg SC; unidad mensual sintética,1,25800,25800,1,1,,1,0,7,210,Amarillo,Seguimiento
2026-01,Enero,Hospital Pediátrico Moctezuma,SEDESA / IMSS-BIENESTAR CDMX,Hospital Pediátrico,Mepolizumab,Nucala / referencia de molécula,100 mg SC; unidad mensual sintética,2,25800,51600,3,0.6667,,2,2,4,60,Rojo,Intervención comercial / acceso
2026-01,Enero,Hospital Pediátrico Tacubaya,SEDESA / IMSS-BIENESTAR CDMX,Hospital Pediátrico,Mepolizumab,Nucala / referencia de molécula,100 mg SC; unidad mensual sintética,1,25800,25800,1,1,,1,0,3,90,Amarillo,Seguimiento
2026-01,Enero,Hospital de Especialidades de la Ciudad de México Dr. Belisario Domínguez,SEDESA / IMSS-BIENESTAR CDMX,Hospital de Especialidades,Mepolizumab,Nucala / referencia de molécula,100 mg SC; unidad mensual sintética,6,25800,154800,7,0.8571,,6,1,16,80,Rojo,Intervención comercial / acceso
2026-01,Enero,Hospital General de México Dr. Eduardo Liceaga,Secretaría de Salud Federal,Hospital Federal de Referencia,Mepolizumab,Nucala / referencia de molécula,100 mg SC; unidad mensual sintética,8,25800,206400,7,1.1429,,8,0,21,78.8,Verde,Mantener / expandir
2026-01,Enero,Hospital Infantil de México Federico Gómez,Secretaría de Salud Federal,Instituto Nacional de Salud / Pediatría,Mepolizumab,Nucala / referencia de molécula,100 mg SC; unidad mensual sintética,3,25800,77400,3,1,,3,0,7,70,Amarillo,Seguimiento
2026-01,Enero,Hospital Infantil de México Federico Gómez,Secretaría de Salud Federal,Instituto Nacional de Salud / Pediatría,Mepolizumab,Nucala / referencia de molécula,100 mg SC; unidad mensual sintética,6,25800,154800,6,1,,6,0,12,60,Amarillo,Seguimiento
2026-01,Enero,Hospital Juárez de México,Secretaría de Salud Federal,Hospital Federal de Referencia,Mepolizumab,Nucala / referencia de molécula,100 mg SC; unidad mensual sintética,8,25800,206400,10,0.8,,8,2,18,67.5,Rojo,Intervención comercial / acceso
2026-01,Enero,Hospital Juárez de México,Secretaría de Salud Federal,Hospital Federal de Referencia,Mepolizumab,Nucala / referencia de molécula,100 mg SC; unidad mensual sintética,6,25800,154800,6,1,,6,1,16,80,Amarillo,Seguimiento
2026-01,Enero,Hospital Juárez de México,Secretaría de Salud Federal,Hospital Federal de Referencia,Mepolizumab,Nucala / referencia de molécula,100 mg SC; unidad mensual sintética,7,25800,180600,7,1,,7,0,20,85.7,Amarillo,Seguimiento
2026-01,Enero,Hospital de la Mujer,Secretaría de Salud Federal,Hospital Federal de Referencia,Mepolizumab,Nucala / referencia de molécula,100 mg SC; unidad mensual sintética,3,25800,77400,3,1,,3,0,4,40,Amarillo,Seguimiento
2026-01,Enero,Instituto Nacional de Cancerología,Secretaría de Salud Federal,Instituto Nacional de Salud,Mepolizumab,Nucala / referencia de molécula,100 mg SC; unidad mensual sintética,1,25800,25800,1,1,,1,0,2,60,Amarillo,Seguimiento
2026-01,Enero,Instituto Nacional de Cancerología,Secretaría de Salud Federal,Instituto Nacional de Salud,Mepolizumab,Nucala / referencia de molécula,100 mg SC; unidad mensual sintética,6,25800,154800,7,0.8571,,6,1,8,40,Rojo,Intervención comercial / acceso
2026-01,Enero,Instituto Nacional de Cardiología Ignacio Chávez,Secretaría de Salud Federal,Instituto Nacional de Salud,Mepolizumab,Nucala / referencia de molécula,100 mg SC; unidad mensual sintética,6,25800,154800,7,0.8571,,6,0,14,70,Rojo,Intervención comercial / acceso
2026-01,Enero,Instituto Nacional de Cardiología Ignacio Chávez,Secretaría de Salud Federal,Instituto Nacional de Salud,Mepolizumab,Nucala / referencia de molécula,100 mg SC; unidad mensual sintética,1,25800,25800,1,1,,1,0,5,150,Amarillo,Seguimiento
2026-01,Enero,Instituto Nacional de Ciencias Médicas y Nutrición Salvador Zubirán,Secretaría de Salud Federal,Instituto Nacional de Salud,Mepolizumab,Nucala / referencia de molécula,100 mg SC; unidad mensual sintética,1,25800,25800,1,1,,1,0,7,210,Amarillo,Seguimiento
2026-01,Enero,Instituto Nacional de Ciencias Médicas y Nutrición Salvador Zubirán,Secretaría de Salud Federal,Instituto Nacional de Salud,Mepolizumab,Nucala / referencia de molécula,100 mg SC; unidad mensual sintética,3,25800,77400,3,1,,3,0,9,90,Amarillo,Seguimiento
2026-01,Enero,Instituto Nacional de Ciencias Médicas y Nutrición Salvador Zubirán,Secretaría de Salud Federal,Instituto Nacional de Salud,Mepolizumab,Nucala / referencia de molécula,100 mg SC; unidad mensual sintética,2,25800,51600,6,0.3333,,2,0,6,90,Rojo,Intervención comercial / acceso
2026-01,Enero,Instituto Nacional de Ciencias Médicas y Nutrición Salvador Zubirán,Secretaría de Salud Federal,Instituto Nacional de Salud,Mepolizumab,Nucala / referencia de molécula,100 mg SC; unidad mensual sintética,6,25800,154800,7,0.8571,,6,0,12,60,Rojo,Intervención comercial / acceso
2026-01,Enero,Instituto Nacional de Enfermedades Respiratorias Ismael Cosío Villegas,Secretaría de Salud Federal,Instituto Nacional de Salud,Mepolizumab,Nucala / referencia de molécula,100 mg SC; unidad mensual sintética,10,25800,258000,10,1,,10,0,25,75,Amarillo,Seguimiento
2026-01,Enero,Instituto Nacional de Enfermedades Respiratorias Ismael Cosío Villegas,Secretaría de Salud Federal,Instituto Nacional de Salud,Mepolizumab,Nucala / referencia de molécula,100 mg SC; unidad mensual sintética,11,25800,283800,12,0.9167,,11,1,26,70.9,Rojo,Intervención comercial / acceso
2026-01,Enero,Instituto Nacional de Enfermedades Respiratorias Ismael Cosío Villegas,Secretaría de Salud Federal,Instituto Nacional de Salud,Mepolizumab,Nucala / referencia de molécula,100 mg SC; unidad mensual sintética,11,25800,283800,12,0.9167,,11,0,29,79.1,Rojo,Intervención comercial / acceso
2026-01,Enero,Instituto Nacional de Enfermedades Respiratorias Ismael Cosío Villegas,Secretaría de Salud Federal,Instituto Nacional de Salud,Mepolizumab,Nucala / referencia de molécula,100 mg SC; unidad mensual sintética,8,25800,206400,8,1,,8,0,21,78.8,Amarillo,Seguimiento
2026-01,Enero,Instituto Nacional de Enfermedades Respiratorias Ismael Cosío Villegas,Secretaría de Salud Federal,Instituto Nacional de Salud,Mepolizumab,Nucala / referencia de molécula,100 mg SC; unidad mensual sintética,9,25800,232200,11,0.8182,,9,3,23,76.7,Rojo,Intervención comercial / acceso
2026-02,Febrero,UMAE Hospital General CMN La Raza Dr. Gaudencio González Garza,IMSS,UMAE / Alta Especialidad,Mepolizumab,Nucala / referencia de molécula,100 mg SC; unidad mensual sintética,9,25800,232200,10,0.9,-0.7097,9,1,24,80,Rojo,Intervención comercial / acceso
2026-02,Febrero,UMAE Hospital de Cardiología CMN Siglo XXI,IMSS,UMAE / Alta Especialidad,Mepolizumab,Nucala / referencia de molécula,100 mg SC; unidad mensual sintética,3,25800,77400,3,1,0.6667,3,0,5,50,Amarillo,Seguimiento
2026-02,Febrero,UMAE Hospital de Cardiología CMN Siglo XXI,IMSS,UMAE / Alta Especialidad,Mepolizumab,Nucala / referencia de molécula,100 mg SC; unidad mensual sintética,2,25800,51600,2,1,0.6667,2,0,6,90,Amarillo,Seguimiento
2026-02,Febrero,UMAE Hospital de Especialidades CMN La Raza Dr. Antonio Fraga Mouret,IMSS,UMAE / Alta Especialidad,Mepolizumab,Nucala / referencia de molécula,100 mg SC; unidad mensual sintética,7,25800,180600,8,0.875,-0.2941,7,0,21,90,Rojo,Intervención comercial / acceso
2026-02,Febrero,UMAE Hospital de Especialidades CMN La Raza Dr. Antonio Fraga Mouret,IMSS,UMAE / Alta Especialidad,Mepolizumab,Nucala / referencia de molécula,100 mg SC; unidad mensual sintética,13,25800,335400,13,1,-0.2941,13,0,25,57.7,Amarillo,Seguimiento
2026-02,Febrero,UMAE Hospital de Especialidades CMN La Raza Dr. Antonio Fraga Mouret,IMSS,UMAE / Alta Especialidad,Mepolizumab,Nucala / referencia de molécula,100 mg SC; unidad mensual sintética,4,25800,103200,7,0.5714,-0.2941,4,1,9,67.5,Rojo,Intervención comercial / acceso
2026-02,Febrero,UMAE Hospital de Especialidades CMN Siglo XXI Dr. Bernardo Sepúlveda,IMSS,UMAE / Alta Especialidad,Mepolizumab,Nucala / referencia de molécula,100 mg SC; unidad mensual sintética,6,25800,154800,6,1,4.375,6,0,14,70,Amarillo,Seguimiento
2026-02,Febrero,UMAE Hospital de Especialidades CMN Siglo XXI Dr. Bernardo Sepúlveda,IMSS,UMAE / Alta Especialidad,Mepolizumab,Nucala / referencia de molécula,100 mg SC; unidad mensual sintética,14,25800,361200,15,0.9333,4.375,14,1,34,72.9,Rojo,Intervención comercial / acceso
2026-02,Febrero,UMAE Hospital de Especialidades CMN Siglo XXI Dr. Bernardo Sepúlveda,IMSS,UMAE / Alta Especialidad,Mepolizumab,Nucala / referencia de molécula,100 mg SC; unidad mensual sintética,10,25800,258000,12,0.8333,4.375,10,1,24,72,Rojo,Intervención comercial / acceso
2026-02,Febrero,UMAE Hospital de Especialidades CMN Siglo XXI Dr. Bernardo Sepúlveda,IMSS,UMAE / Alta Especialidad,Mepolizumab,Nucala / referencia de molécula,100 mg SC; unidad mensual sintética,13,25800,335400,16,0.8125,4.375,13,1,26,60,Rojo,Intervención comercial / acceso
2026-02,Febrero,UMAE Hospital de Gineco Obstetricia No. 3 CMN La Raza,IMSS,UMAE / Gineco Obstetricia,Mepolizumab,Nucala / referencia de molécula,100 mg SC; unidad mensual sintética,1,25800,25800,1,1,,1,0,4,120,Amarillo,Seguimiento
2026-02,Febrero,UMAE Hospital de Gineco Obstetricia No. 3 CMN La Raza,IMSS,UMAE / Gineco Obstetricia,Mepolizumab,Nucala / referencia de molécula,100 mg SC; unidad mensual sintética,1,25800,25800,1,1,,1,0,5,150,Amarillo,Seguimiento
2026-02,Febrero,UMAE Hospital de Oncología CMN Siglo XXI,IMSS,UMAE / Alta Especialidad,Mepolizumab,Nucala / referencia de molécula,100 mg SC; unidad mensual sintética,2,25800,51600,4,0.5,,2,1,4,60,Rojo,Intervención comercial / acceso
2026-02,Febrero,UMAE Hospital de Oncología CMN Siglo XXI,IMSS,UMAE / Alta Especialidad,Mepolizumab,Nucala / referencia de molécula,100 mg SC; unidad mensual sintética,4,25800,103200,4,1,,4,0,10,75,Amarillo,Seguimiento
2026-02,Febrero,UMAE Hospital de Pediatría CMN Siglo XXI Dr. Silvestre Frenk Freund,IMSS,UMAE / Pediatría,Mepolizumab,Nucala / referencia de molécula,100 mg SC; unidad mensual sintética,1,25800,25800,1,1,-0.4,1,0,2,60,Amarillo,Seguimiento
2026-02,Febrero,UMAE Hospital de Pediatría CMN Siglo XXI Dr. Silvestre Frenk Freund,IMSS,UMAE / Pediatría,Mepolizumab,Nucala / referencia de molécula,100 mg SC; unidad mensual sintética,2,25800,51600,2,1,-0.4,2,0,8,120,Amarillo,Seguimiento
2026-02,Febrero,UMAE Hospital de Traumatología y Ortopedia Victorio de la Fuente Narváez,IMSS,UMAE / Traumatología y Ortopedia,Mepolizumab,Nucala / referencia de molécula,100 mg SC; unidad mensual sintética,2,25800,51600,2,1,,2,0,0,0,Amarillo,Seguimiento
2026-02,Febrero,Centro Médico Nacional 20 de Noviembre,ISSSTE,Centro Médico Nacional,Mepolizumab,Nucala / referencia de molécula,100 mg SC; unidad mensual sintética,8,25800,206400,8,1,-0.4,8,0,18,67.5,Amarillo,Seguimiento
2026-02,Febrero,Centro Médico Nacional 20 de Noviembre,ISSSTE,Centro Médico Nacional,Mepolizumab,Nucala / referencia de molécula,100 mg SC; unidad mensual sintética,6,25800,154800,6,1,-0.4,6,0,17,85,Amarillo,Seguimiento
2026-02,Febrero,Centro Médico Nacional 20 de Noviembre,ISSSTE,Centro Médico Nacional,Mepolizumab,Nucala / referencia de molécula,100 mg SC; unidad mensual sintética,7,25800,180600,8,0.875,-0.4,7,1,13,55.7,Rojo,Intervención comercial / acceso
2026-02,Febrero,Hospital General Darío Fernández Fierro,ISSSTE,Hospital General,Mepolizumab,Nucala / referencia de molécula,100 mg SC; unidad mensual sintética,4,25800,103200,4,1,-0.5,4,0,8,60,Amarillo,Seguimiento
2026-02,Febrero,Hospital General Darío Fernández Fierro,ISSSTE,Hospital General,Mepolizumab,Nucala / referencia de molécula,100 mg SC; unidad mensual sintética,3,25800,77400,4,0.75,-0.5,3,0,8,80,Rojo,Intervención comercial / acceso
2026-02,Febrero,Hospital General Tacuba,ISSSTE,Hospital General,Mepolizumab,Nucala / referencia de molécula,100 mg SC; unidad mensual sintética,4,25800,103200,4,1,1.3333,4,0,8,60,Amarillo,Seguimiento
2026-02,Febrero,Hospital General Tacuba,ISSSTE,Hospital General,Mepolizumab,Nucala / referencia de molécula,100 mg SC; unidad mensual sintética,3,25800,77400,3,1,1.3333,3,0,6,60,Amarillo,Seguimiento
2026-02,Febrero,Hospital Regional 1° de Octubre,ISSSTE,Hospital Regional,Mepolizumab,Nucala / referencia de molécula,100 mg SC; unidad mensual sintética,3,25800,77400,3,1,1.5714,3,0,11,110,Amarillo,Seguimiento
2026-02,Febrero,Hospital Regional 1° de Octubre,ISSSTE,Hospital Regional,Mepolizumab,Nucala / referencia de molécula,100 mg SC; unidad mensual sintética,8,25800,206400,8,1,1.5714,8,0,16,60,Amarillo,Seguimiento
